elapsed_s,state,planner_state,drive_speed,steer_deg,event,lidar_scan_timestamp,lidar_is_new_scan,lidar_valid,lidar_reason,gap_found,gap_confirmed,tracking_roi_expanded,first_car_gate_passed,second_car_gate_armed,ordered_second_car_pairing,car_clusters,first_car_confirmed,first_car_edge_y_back_cm,first_car_turn_error_cm,first_car_turn_reached,gap_center_y_back_cm,gap_width_cm,slot_depth_x,slot_depth_y,gap_coasted,positioning_phase,tracked_gap_center_cm,rear_lidar_cm,line_error_px,camera_found,camera_reason,detected_line_masks,fitted_line_count,left_ultrasonic_cm,right_ultrasonic_cm,pose_source,pose_locked,pose_tracked,pose_stale,pose_held,pose_lost,pose_scan_timestamp,pose_translation_mm,pose_rotation_deg,pose_support_points,pose_bilateral_support,pose_depth_span_mm,pose_reason,map_frozen,map_source_scan_timestamp,map_slot_width_mm,map_slot_depth_mm,map_landmark_count,map_landmarks_local_mm,map_surface_point_count,map_surface_points_local_mm,map_reason,map_icp_fallback_scans,path_status,path_found,path_reason,path_point_count,path_points_px,path_curvature_per_px,path_maximum_curvature_per_px,path_entry_steering_ratio,path_entry_heading_change_deg,path_final_lateral_offset_px,path_minimum_side_clearance_px,path_maximum_entry_depth_px,path_lookahead_x_px,path_lookahead_y_px,lease_pose_required,lease_valid,lease_expires_at_s,lease_remaining_s,lease_last_fresh_pose_at_s,lease_pose_age_s,footprint_completion_candidate,footprint_completion_reason,footprint_min_lateral_mm,footprint_max_lateral_mm,footprint_min_depth_mm,footprint_max_depth_mm,pose_p0_x_right_mm,pose_p0_y_back_mm,pose_p1_x_right_mm,pose_p1_y_back_mm,pose_p2_x_right_mm,pose_p2_y_back_mm,pose_p3_x_right_mm,pose_p3_y_back_mm
0.0,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213449.766,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,360.1,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.113461,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213449.879,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,360.625,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.224535,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213449.99,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,359.525,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.336946,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213450.103,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,360.725,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.448023,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213450.214,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,360.025,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.559585,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213450.325,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,359.7,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.672857,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213450.439,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,359.675,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.784291,SEARCHING,search_cars,100,-25,start_forward_rollout,1785213450.55,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,360.325,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.896911,SEARCHING,search_cars,100,-25,searching_for_parked_cars,1785213450.663,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,360.875,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
1.008239,SEARCHING,search_cars,100,-25,searching_for_parked_cars,1785213450.774,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,360.8,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
