elapsed_s,state,planner_state,drive_speed,steer_deg,event,lidar_scan_timestamp,lidar_is_new_scan,lidar_valid,lidar_reason,gap_found,gap_confirmed,tracking_roi_expanded,first_car_gate_passed,second_car_gate_armed,ordered_second_car_pairing,car_clusters,first_car_confirmed,first_car_edge_y_back_cm,first_car_turn_error_cm,first_car_turn_reached,gap_center_y_back_cm,gap_width_cm,slot_depth_x,slot_depth_y,gap_coasted,positioning_phase,tracked_gap_center_cm,rear_lidar_cm,line_error_px,camera_found,camera_reason,detected_line_masks,fitted_line_count,left_ultrasonic_cm,right_ultrasonic_cm,pose_source,pose_locked,pose_tracked,pose_stale,pose_held,pose_lost,pose_scan_timestamp,pose_translation_mm,pose_rotation_deg,pose_support_points,pose_bilateral_support,pose_depth_span_mm,pose_reason,map_frozen,map_source_scan_timestamp,map_slot_width_mm,map_slot_depth_mm,map_landmark_count,map_landmarks_local_mm,map_surface_point_count,map_surface_points_local_mm,map_reason,map_icp_fallback_scans,path_status,path_found,path_reason,path_point_count,path_points_px,path_curvature_per_px,path_maximum_curvature_per_px,path_entry_steering_ratio,path_entry_heading_change_deg,path_final_lateral_offset_px,path_minimum_side_clearance_px,path_maximum_entry_depth_px,path_lookahead_x_px,path_lookahead_y_px,lease_pose_required,lease_valid,lease_expires_at_s,lease_remaining_s,lease_last_fresh_pose_at_s,lease_pose_age_s,footprint_completion_candidate,footprint_completion_reason,footprint_min_lateral_mm,footprint_max_lateral_mm,footprint_min_depth_mm,footprint_max_depth_mm,pose_p0_x_right_mm,pose_p0_y_back_mm,pose_p1_x_right_mm,pose_p1_y_back_mm,pose_p2_x_right_mm,pose_p2_y_back_mm,pose_p3_x_right_mm,pose_p3_y_back_mm
0.0,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215002.731,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,377.25,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.112793,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215002.844,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,376.675,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.224942,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215002.956,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,377.05,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.336608,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215003.068,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,377.475,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.447538,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215003.179,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,376.9,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.557492,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215003.289,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,377.175,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.669816,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215003.401,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,378.0,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.783709,SEARCHING,search_cars,100,-25,start_forward_rollout,1785215003.515,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,376.7,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
0.895457,SEARCHING,search_cars,100,-25,searching_for_parked_cars,1785215003.627,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,375.7,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
1.007628,SEARCHING,search_cars,100,-25,searching_for_parked_cars,1785215003.739,1,1,searching_for_parked_cars,0,0,0,0,0,0,0,0,,,0,,,,,0,TRACK_FIRST_CAR,0.0,376.45,,0,not_sampled,0,0,,,NONE,0,0,0,0,0,,0.0,0.0,0,0,0.0,slot_not_locked,0,,,,0,,0,,,0,,0,,0,,,,,,,,,,,0,0,,,,,0,footprint_unavailable,,,,,,,,,,,,
